'D(1), d
ADMITS, ə d m ˈɪ t s
ADMITTED, ə d m ˈɪ t ɪ d
ADOBE, ə d ˈəʊ b iː
ADOLESCENT, ˌæ d ə l ˈɛ s ə n t
ADOPT, ə d ˈɒ p t
ADOPTED, ə d ˈɒ p t ɪ d
ADOPTION, ə d ˈɒ p ʃ ə n
ADORE, ə d ˈɔː
ADRIAN, ˈeɪ d ɹ ɪə n
ADS, ˈæ d z
ADULT(1), ə d ˈɐ l t
ADULT(2), ˈæ d ɐ l t
ADULTS(1), ə d ˈɐ l t s
ADULTS(2), ˈæ d ɐ l t s
ADVANCE, ə d v ˈɑː n s
ADVANCED, ə d v ˈɑː n s t
ADVANCEMENT, ə d v ˈɑː n s m ə n t
ADVANCES, ə d v ˈɑː n s ɪ z
ADVANTAGE, ə d v ˈɑː n t ɪ dʒ
ADVANTAGES, ə d v ˈɑː n t ɪ dʒ ɪ z
ADVENTURE, ə d v ˈɛ n tʃ ə
ADVENTURES, ə d v ˈɛ n tʃ ə z
ADVERSE(1), ˈæ d v ɜː s
ADVERSE(2), æ d v ˈɜː s
ADVERT, æ d v ˈɜː t
ADVERTISE, ˈæ d v ə t ˌaɪ z
ADVERTISED, ˈæ d v ə t ˌaɪ z d
ADVERTISEMENT(1), ə d v ˈɜː t ɪ s m ə n t
ADVERTISEMENT(2), ə d v ˈɜː t ɪ z m ə n t
ADVERTISEMENTS(1), ə d v ˈɜː t ɪ s m ə n t s
ADVERTISEMENTS(2), ə d v ˈɜː t ɪ z m ə n t s
ADVERTISER, ˈæ d v ə t ˌaɪ z ə
ADVERTISERS, ˈæ d v ə t ˌaɪ z ə z
ADVERTISING, ˈæ d v ə t ˌaɪ z ɪ ŋ
ADVICE, ə d v ˈaɪ s
ADVISE, ə d v ˈaɪ z
ADVISED, ə d v ˈaɪ z d
ADVISER, ə d v ˈaɪ z ə
ADVISERS, ə d v ˈaɪ z ə z
ADVISOR, ə d v ˈaɪ z ə
ADVISORS, ə d v ˈaɪ z ə z
ADVISORY, ə d v ˈaɪ z ə ɹ iː
ADVOCACY, ˈæ d v ə k ə s iː
ADVOCATE(1), ˈæ d v ə k ˌeɪ t
ADVOCATE(2), ˈæ d v ə k ɪ t
ADWARE, ˈæ d w ˌɛə
AERIAL, ˈɛə ɹ ɪə l
AEROSPACE, ˈɛə ɹ ə s p ˌeɪ s
AESTHETIC(1), ɪ s θ ˈɛ t ɪ k
AESTHETIC(2), iː s θ ˈɛ t ɪ k
AESTHETIC(3), ɛ s θ ˈɛ t ɪ k
AFFAIR, ə f ˈɛə
AFFAIRS, ə f ˈɛə z
AFFECT, ə f ˈɛ k t
AFFECTED, ə f ˈɛ k t ɪ d
AFFECTING, ə f ˈɛ k t ɪ ŋ
AFFECTION, ə f ˈɛ k ʃ ə n
AFFECTS, ə f ˈɛ k t s
AFFILIATE(1), ə f ˈɪ l ɪ ˌeɪ t
AFFILIATE(2), ə f ˈɪ l ɪə t
AFFILIATED, ə f ˈɪ l ɪ ˌeɪ t ɪ d
AFFILIATES(1), ə f ˈɪ l ɪ ˌeɪ t s
AFFILIATES(2), ə f ˈɪ l ɪə t s
AFFILIATION, ə f ˌɪ l ɪ ˈeɪ ʃ ə n
AFFORD, ə f ˈɔː d
AFFORDABLE, ə f ˈɔː d ə b ə l
AFGHANISTAN(1), æ f g ˈæ n ɪ s t ˌɑː n
AFGHANISTAN(2), æ f g ˈæ n ɪ s t ˌæ n
AFRAID, ə f ɹ ˈeɪ d
AFRICA, ˈæ f ɹ ɪ k ə
AFRICAN, ˈæ f ɹ ɪ k ə n
AFTER, ˈɑː f t ə
AFTERNOON, ˌɑː f t ə n ˈuː n
AFTERNOONS, ˌɑː f t ə n ˈuː n z
AFTERWARDS, ˈɑː f t ə w ə d z
AGAIN(1), ə g ˈɛ n
AGAIN(2), ə g ˈeɪ n
AGAINST(1), ə g ˈɛ n s t
AGAINST(2), ə g ˈeɪ n s t
AGE, ˈeɪ dʒ
AGED(1), ˈeɪ dʒ d
AGED(2), ˈeɪ dʒ ɪ d
AGENCIES, ˈeɪ dʒ ə n s iː z
AGENCY, ˈeɪ dʒ ə n s iː
AGENDA, ə dʒ ˈɛ n d ə
AGENT, ˈeɪ dʒ ə n t
AGENTS, ˈeɪ dʒ ə n t s
AGES, ˈeɪ dʒ ɪ z
AGGREGATE(1), ˈæ g ɹ ɪ g ˌeɪ t
AGGREGATE(2), ˈæ g ɹ ɪ g ɪ t
AGGRESSION, ə g ɹ ˈɛ ʃ ə n
AGGRESSIVE, ə g ɹ ˈɛ s ɪ v
AGING, ˈeɪ dʒ ɪ ŋ
AGNES, ˈæ g n ɪ s
AGO, ə g ˈəʊ
AGONY, ˈæ g ə n iː
AGREE, ə g ɹ ˈiː
AGREED, ə g ɹ ˈiː d
AGREEING, ə g ɹ ˈiː ɪ ŋ
AGREEMENT, ə g ɹ ˈiː m ə n t
AGREEMENTS, ə g ɹ ˈiː m ə n t s
AGREES, ə g ɹ ˈiː z
AGRICULTURAL, ˌæ g ɹ ɪ k ˈɐ l tʃ ə ɹ ə l
AGRICULTURE, ˈæ g ɹ ɪ k ˌɐ l tʃ ə
AH, ˈɑː
AHA, ˌɑː h ˈɑː
AHEAD, ə h ˈɛ d
AID, ˈeɪ d
AIDS, ˈeɪ d z
AIM, ˈeɪ m
AIMED, ˈeɪ m d
AIMING, ˈeɪ m ɪ ŋ
AIMS, ˈeɪ m z
AIN'T, ˈeɪ n t
AIR, ˈɛə
AIRCRAFT, ˈɛə k ɹ ˌɑː f t
AIRFARE, ˈɛə f ˌɛə
AIRING, ˈɛə ɹ ɪ ŋ
AIRLINE, ˈɛə l ˌaɪ n
AIRLINES, ˈɛə l ˌaɪ n z
AIRPLANE, ˈɛə p l ˌeɪ n
AIRPORT, ˈɛə p ˌɔː t
AIRPORTS, ˈɛə p ˌɔː t s
AIRWAYS, ˈɛə w ˌeɪ z
AITCH, ˈeɪ tʃ
AITCHES, ˈeɪ tʃ ɪ z
AL, ˈæ l
ALABAMA, ˌæ l ə b ˈæ m ə
ALAN, ˈæ l ə n
ALARM, ə l ˈɑː m
ALASKA, ə l ˈæ s k ə
ALBANIA, æ l b ˈeɪ n ɪə
ALBANY, ˈɔː l b ə n iː
ALBEIT, ɔː l b ˈiː ɪ t
ALBERT, ˈæ l b ə t
ALBERTA, æ l b ˈɜː t ə
ALBUM, ˈæ l b ə m
ALBUMS, ˈæ l b ə m z
ALBUQUERQUE, ˈæ l b ə k ˌɜː k iː
ALCOHOL, ˈæ l k ə h ˌɒ l
ALERT, ə l ˈɜː t
ALERTS, ə l ˈɜː t s
ALEX, ˈæ l ɪ k s
ALEXANDER, ˌæ l ɪ g z ˈɑː n d ə
ALEXANDRIA, ˌæ l ɪ g z ˈɑː n d ɹ ɪə
ALFRED, ˈæ l f ɹ ɪ d
ALGEBRA, ˈæ l dʒ ə b ɹ ə
ALGERIA, æ l dʒ ˈɪə ɹ ɪə
ALGORITHM, ˈæ l g ə ɹ ˌɪ ð ə m
ALGORITHMS, ˈæ l g ə ɹ ˌɪ ð ə m z
ALI, ˈɑː l iː
ALIAS, ˈeɪ l ɪə s
ALICE, ˈæ l ɪ s
ALIEN, ˈeɪ l ɪə n
ALIENS, ˈeɪ l ɪə n z
ALIGN, ə l ˈaɪ n
ALIGNMENT, ə l ˈaɪ n m ə n t
ALIKE, ə l ˈaɪ k
ALISON, ˈæ l ɪ s ə n
ALIVE, ə l ˈaɪ v
ALL, ˈɔː l
ALLAH(1), ˈæ l ə
ALLAH(2), ə l ˈɑː
ALLAN, ˈæ l ə n
ALLEGATIONS, ˌæ l ə g ˈeɪ ʃ ə n z
ALLEGED, ə l ˈɛ dʒ d
ALLEGEDLY, ə l ˈɛ dʒ ɪ d l iː
ALLEN, ˈæ l ə n
ALLERGIC, ə l ˈɜː dʒ ɪ k
ALLERGY, ˈæ l ə dʒ iː
ALLEY, ˈæ l iː
ALLIANCE, ə l ˈaɪ ə n s
ALLIED(1), ˈæ l ˌaɪ d
ALLIED(2), ə l ˈaɪ d
ALLIES(1), ə l ˈaɪ z
ALLIES(2), ˈæ l aɪ z
ALLOCATED, ˈæ l ə k ˌeɪ t ɪ d
ALLOCATION, ˌæ l ə k ˈeɪ ʃ ə n
ALLOW, ə l ˈaʊ
ALLOWANCE, ə l ˈaʊ ə n s
ALLOWANCES, ə l ˈaʊ ə n s ɪ z
ALLOWED, ə l ˈaʊ d
ALLOWING, ə l ˈaʊ ɪ ŋ
ALLOWS, ə l ˈaʊ z
ALLOY(1), ˈæ l ɔɪ
ALLOY(2), ə l ˈɔɪ
ALLY(1), ə l ˈaɪ
ALLY(2), ˈæ l aɪ
ALMIGHTY, ɔː l m ˈaɪ t iː
ALMOST, ˈɔː l m ˌəʊ s t
ALONE, ə l ˈəʊ n
ALONG, ə l ˈɒ ŋ
ALONGSIDE, ə l ˈɒ ŋ s ˌaɪ d
ALOUD, ə l ˈaʊ d
ALPHA, ˈæ l f ə
ALPHABETICAL, ˌæ l f ə b ˈɛ t ɪ k ə l
ALPINE, ˈæ l p ˌaɪ n
ALREADY, ɔː l ɹ ˈɛ d iː
ALRIGHT, ˌɔː l ɹ ˈaɪ t
ALSO, ˈɔː l s əʊ
ALTAR, ˈɔː l t ə
ALTER, ˈɔː l t ə
ALTERATION, ˌɔː l t ə ɹ ˈeɪ ʃ ə n
ALTERATIONS, ˌɔː l t ə ɹ ˈeɪ ʃ ə n z
ALTERED, ˈɔː l t ə d
ALTERNATE(1), ˈɔː l t ə n ˌeɪ t
ALTERNATE(2), ˈɔː l t ə n ə t
ALTERNATIVE, ɔː l t ˈɜː n ə t ɪ v
ALTERNATIVELY, ɔː l t ˈɜː n ə t ɪ v l iː
ALTERNATIVES, ɔː l t ˈɜː n ə t ɪ v z
ALTHOUGH, ˌɔː l ð ˈəʊ
ALTOGETHER, ˌɔː l t ə g ˈɛ ð ə
ALUMINIUM, ˌæ l j ʊ m ˈɪ n ɪə m
ALUMINUM, ə l ˈuː m ɪ n ə m
ALUMNI, ə l ˈɐ m n ˌaɪ
ALWAYS(1), ˈɔː l w ɪ z
ALWAYS(2), ˈɔː l w ˌeɪ z
AM, ˈæ m
AMANDA, ə m ˈæ n d ə
AMATEUR(1), ˈæ m ə t ə
AMATEUR(2), ˈæ m ə tʃ ə
AMATEUR(3), ˈæ m ə tʃ ˌʊə
AMATEUR(4), ˌæ m ə t ˈɜː
AMAZED, ə m ˈeɪ z d
AMAZING, ə m ˈeɪ z ɪ ŋ
AMAZON, ˈæ m ə z ə n
AMBASSADOR, æ m b ˈæ s ə d ə
AMBER, ˈæ m b ə
AMBIENT, ˈæ m b ɪə n t
AMBIGUITY, ˌæ m b ɪ g j ˈuː ɪ t iː
AMBIGUOUS, æ m b ˈɪ g j ʊə s
AMBITION, æ m b ˈɪ ʃ ə n
AMBITIONS, æ m b ˈɪ ʃ ə n z
AMBITIOUS, æ m b ˈɪ ʃ ə s
AMBULANCE, ˈæ m b j ʊ l ə n s
AMEN(1), ˌeɪ m ˈɛ n
AMEN(2), ˌɑː m ˈɛ n
AMEND, ə m ˈɛ n d
AMENDED, ə m ˈɛ n d ɪ d
AMENDMENT, ə m ˈɛ n d m ə n t
AMENDMENTS, ə m ˈɛ n d m ə n t s
AMENITIES, ə m ˈɛ n ɪ t iː z
AMERICA, ə m ˈɛ ɹ ɪ k ə
AMERICAN, ə m ˈɛ ɹ ɪ k ə n
AMERICANS, ə m ˈɛ ɹ ɪ k ə n z
AMERICAS, ə m ˈɛ ɹ ɪ k ə z
AMID, ə m ˈɪ d
AMINO(1), ə m ˈiː n əʊ
AMINO(2), ə m ˈaɪ n əʊ
AMONG, ə m ˈɐ ŋ
AMONGST, ə m ˈɐ ŋ s t
AMOUNT, ə m ˈaʊ n t
AMOUNTS, ə m ˈaʊ n t s
AMP, ˈæ m p
AMPERSAND, ˈæ m p ə s ˌæ n d
AMPLE, ˈæ m p ə l
AMPLIFIER, ˈæ m p l ɪ f ˌaɪ ə
AMSTERDAM, ˈæ m s t ə d ˌæ m
AMUSEMENT, ə m j ˈuː z m ə n t
AMY, ˈeɪ m iː
AN(1), ə n
AN(2), ˈæ n
ANA(1), ˈæ n ə
ANA(2), ˈɑː n ə
ANAL, ˈeɪ n ə l
ANALOG, ˈæ n ə l ˌɒ g
ANALOGY, ə n ˈæ l ə dʒ iː
ANALYSE, ˈæ n ə l ˌaɪ z
ANALYSED, ˈæ n ə l ˌaɪ z d
ANALYSES(1), ˈæ n ə l ˌaɪ z iː z
ANALYSES(2), ə n ˈæ l ɪ s ˌiː z
ANALYSIS, ə n ˈæ l ɪ s ɪ s
ANALYST, ˈæ n ə l ɪ s t
ANALYSTS, ˈæ n ə l ɪ s t s
ANALYTICAL, ˌæ n ə l ˈɪ t ɪ k ə l
ANALYZE, ˈæ n ə l ˌaɪ z
ANALYZED, ˈæ n ə l ˌaɪ z d
ANATOMY, ə n ˈæ t ə m iː
ANCESTORS, ˈæ n s ˌɛ s t ə z
ANCHOR, ˈæ ŋ k ə
ANCIENT, ˈeɪ n ʃ ə n t
AND(1), ə n d
AND(2), ˈæ n d
ANDERSON, ˈæ n d ə s ə n
ANDORRA, æ n d ˈɒ ɹ ə
ANDREA(1), ˈæ n d ɹ ɪə
ANDREA(2), ˌæ n d ɹ ˈeɪ ə
ANDREAS, ɒ n d ɹ ˈeɪ ə s
ANDREW, ˈæ n d ɹ uː
ANDREWS, ˈæ n d ɹ ˌuː z
ANDY, ˈæ n d iː
ANGEL, ˈeɪ n dʒ ə l
ANGELA, ˈæ n dʒ ə l ə
ANGELS, ˈeɪ n dʒ ə l z
ANGER, ˈæ ŋ g ə
ANGIE, ˈæ n dʒ iː
ANGLE, ˈæ ŋ g ə l
ANGLES, ˈæ ŋ g ə l z
ANGOLA, æ ŋ g ˈəʊ l ə
ANGRILY, ˈæ ŋ g ɹ ɪ l iː
ANGRY, ˈæ ŋ g ɹ iː
ANGUS, ˈæ ŋ g ə s
ANIMAL, ˈæ n ɪ m ə l
ANIMALS, ˈæ n ɪ m ə l z
ANIMATED, ˈæ n ɪ m ˌeɪ t ɪ d
ANIMATION, ˌæ n ɪ m ˈeɪ ʃ ə n
ANIME, ˈæ n ɪ m ˌeɪ
ANKLE, ˈæ ŋ k ə l
ANN, ˈæ n
ANNA, ˈæ n ə
ANNABEL, ˈæ n ə b ˌɛ l
ANNE, ˈæ n
ANNETTE, ə n ˈɛ t
ANNEX(1), ˈæ n ˌɛ k s
ANNEX(2), ˌæ n ˈɛ k s
ANNEXE(1), ˈæ n ɪ k s
ANNEXE(2), ˈæ n ˌɛ k s
ANNIE, ˈæ n iː
ANNIVERSARY, ˌæ n ɪ v ˈɜː s ə ɹ iː
ANNOTATED(1), ˈæ n ə t ˌeɪ t ɪ d
ANNOTATED(2), ˈæ n əʊ t ˌeɪ t ɪ d
ANNOTATION, ˌæ n ə t ˈeɪ ʃ ə n
ANNOUNCE, ə n ˈaʊ n s
ANNOUNCED, ə n ˈaʊ n s t
ANNOUNCEMENT, ə n ˈaʊ n s m ə n t
ANNOUNCEMENTS, ə n ˈaʊ n s m ə n t s
ANNOUNCER, ə n ˈaʊ n s ə
ANNOUNCES, ə n ˈaʊ n s ɪ z
ANNOY, ə n ˈɔɪ
ANNOYED, ə n ˈɔɪ d
ANNOYING, ə n ˈɔɪ ɪ ŋ
ANNOYS, ə n ˈɔɪ z
ANNUAL, ˈæ n j ʊə l
ANNUALLY, ˈæ n j ʊə l iː
ANONYMOUS, ə n ˈɒ n ə m ə s
ANOTHER, ə n ˈɐ ð ə
ANSWER, ˈɑː n s ə
ANSWERED, ˈɑː n s ə d
ANSWERING, ˈɑː n s ə ɹ ɪ ŋ
ANSWERS, ˈɑː n s ə z
ANT, ˈæ n t
ANTARCTICA, ˌæ n t ˈɑː k t ɪ k ə
ANTENNA, æ n t ˈɛ n ə
ANTHONY, ˈæ n θ ə n iː
ANTHROPOLOGY, ˌæ n θ ɹ ə p ˈɒ l ə dʒ iː
ANTI, ˈæ n t iː
ANTIBIOTICS, ˌæ n t ɪ b aɪ ˈɒ t ɪ k s
ANTIBODIES, ˈæ n t ɪ b ˌɒ d iː z
ANTIBODY, ˈæ n t ɪ b ˌɒ d iː
ANTICIPATED, æ n t ˈɪ s ɪ p ˌeɪ t ɪ d
ANTICIPATION, ˌæ n t ɪ s ɪ p ˈeɪ ʃ ə n
ANTIGUA(1), æ n t ˈiː g ə
ANTIGUA(2), æ n t ˈiː g w ə
ANTIQUE, æ n t ˈiː k
ANTIQUES, æ n t ˈiː k s
ANTIVIRUS, ˌæ n t ɪ v ˈaɪ ɹ ə s
ANTONIO, æ n t ˈəʊ n ɪ əʊ
ANXIETY, æ ŋ z ˈaɪ ə t iː
ANXIOUS(1), ˈæ ŋ ʃ ə s
ANXIOUS(2), ˈæ ŋ k ʃ ə s
ANY, ˈɛ n iː
ANYBODY, ˈɛ n ɪ b ə d iː
ANYHOW, ˈɛ n ɪ h ˌaʊ
ANYMORE, ˌɛ n ɪ m ˈɔː
ANYONE(1), ˈɛ n ɪ w ə n
ANYONE(2), ˈɛ n ɪ w ˌɐ n
ANYTHING, ˈɛ n ɪ θ ˌɪ ŋ
ANYTIME, ˈɛ n ɪ t ˌaɪ m
ANYWAY, ˈɛ n ɪ w ˌeɪ
ANYWHERE, ˈɛ n ɪ w ˌɛə
APACHE, ə p ˈæ tʃ iː
APART, ə p ˈɑː t
APARTMENT, ə p ˈɑː t m ə n t
APARTMENTS, ə p ˈɑː t m ə n t s
APOLLO, ə p ˈɒ l əʊ
APOLOGIES, ə p ˈɒ l ə dʒ iː z
APOLOGIZE, ə p ˈɒ l ə dʒ ˌaɪ z
APOLOGY, ə p ˈɒ l ə dʒ iː
APOSTROPHE, ə p ˈɒ s t ɹ ə f iː
APP, ˈæ p
APPALLING, ə p ˈɔː l ɪ ŋ
APPARATUS, ˌæ p ə ɹ ˈæ t ə s
APPAREL, ə p ˈæ ɹ ə l
APPARENT, ə p ˈɛə ɹ ə n t
APPARENTLY, ə p ˈɛə ɹ ə n t l iː
APPEAL, ə p ˈiː l
APPEALING, ə p ˈiː l ɪ ŋ
APPEALS, ə p ˈiː l z
APPEAR, ə p ˈɪə
APPEARANCE, ə p ˈɪə ɹ ə n s
APPEARANCES, ə p ˈɪə ɹ ə n s ɪ z
APPEARED, ə p ˈɪə d
APPEARING, ə p ˈɪə ɹ ɪ ŋ
APPEARS, ə p ˈɪə z
APPENDIX, ə p ˈɛ n d ɪ k s
APPETITE, ˈæ p ɪ t ˌaɪ t
APPLAUSE, ə p l ˈɔː z
APPLE, ˈæ p ə l
