'COS, k ˈə z
ADDRESSING, ə d ɹ ˈɛ s ɪ ŋ
ADDS, ˈæ d z
ADELAIDE, ˈæ d ə l ˌeɪ d
ADEPT, ə d ˈɛ p t
ADEQUATE, ˈæ d ɪ k w ɪ t
ADEQUATELY, ˈæ d ɪ k w ə t l i
ADHERE, ə d h ˈɪə
ADHESIVE, ə d h ˈiː s ɪ v
ADIDAS, ˈæ d ɪ d ə s
ADIRONDACK, ˌæ d ɪ ɹ ˈɒ n d æ k
ADJACENCY, ə dʒ ˈeɪ s ə n s i
ADJACENT, ə dʒ ˈeɪ s ə n t
ADJECTIVE, ˈæ dʒ ɪ k t ɪ v
ADJECTIVES, ˈæ dʒ ɪ k t ɪ v z
ADJOURN, ə dʒ ˈɜː n
ADJUST, ə dʒ ˈɐ s t
ADJUSTABLE, ə dʒ ˈɐ s t ə b ə l
ADJUSTED, ə dʒ ˈɐ s t ɪ d
ADJUSTMENT, ə dʒ ˈɐ s t m ə n t
ADJUSTMENTS, ə dʒ ˈɐ s t m ə n t s
ADMIN, ˈæ d m ɪ n
ADMINISTER, ə d m ˈɪ n ɪ s t ə
ADMINISTERED, ə d m ˈɪ n ɪ s t ə d
ADMINISTRATION, ə d m ˌɪ n ɪ s t ɹ ˈeɪ ʃ ə n
ADMINISTRATIVE, ə d m ˈɪ n ɪ s t ɹ ə t ɪ v
ADMINISTRATOR, ə d m ˈɪ n ɪ s t ɹ ˌeɪ t ə
ADMINISTRATORS, ə d m ˈɪ n ɪ s t ɹ ˌeɪ t ə z
ADMIRAL, ˈæ d m ə ɹ ə l
ADMIRATION, ˌæ d m ɪ ɹ ˈeɪ ʃ ə n
ADMIRE, ə d m ˈaɪ ə
ADMISSION, ə d m ˈɪ ʃ ə n
ADMISSIONS(1), æ d m ˈɪ ʃ ə n z
ADMISSIONS(2), ə d m ˈɪ ʃ ə n z
ADMIT, ə d m ˈɪ t
ADMITS, ə d m ˈɪ t s
ADMITTED, ə d m ˈɪ t ɪ d
ADMITTEDLY, ə d m ˈɪ t ɪ d l i
ADOBE, ə d ˈəʊ b i
ADOLESCENT, ˌæ d ə l ˈɛ s ə n t
ADOPT, ə d ˈɒ p t
ADOPTED, ə d ˈɒ p t ɪ d
ADOPTION, ə d ˈɒ p ʃ ə n
ADORE, ə d ˈɔː
ADRIAN, ˈeɪ d ɹ ɪə n
ADS, ˈæ d z
ADULT(1), ə d ˈɐ l t
ADULT(2), ˈæ d ɐ l t
ADULTS(1), ə d ˈɐ l t s
ADULTS(2), ˈæ d ɐ l t s
ADVANCE, ə d v ˈɑː n s
ADVANCED, ə d v ˈɑː n s t
ADVANCEMENT, ə d v ˈɑː n s m ə n t
ADVANCES, ə d v ˈɑː n s ɪ z
ADVANTAGE, ə d v ˈɑː n t ɪ dʒ
ADVANTAGEOUS, ˌæ d v ə n t ˈeɪ dʒ ə s
ADVANTAGES, ə d v ˈɑː n t ɪ dʒ ɪ z
ADVENT(1), ˈæ d v ɛ n t
ADVENT(2), ˈæ d v ə n t
ADVENTURE, ə d v ˈɛ n tʃ ə
ADVENTURES, ə d v ˈɛ n tʃ ə z
ADVENTUROUS, ə d v ˈɛ n tʃ ə ɹ ə z
ADVERSARY, ˈæ d v ə s ə ɹ i
ADVERSE(1), ˈæ d v ɜː s
ADVERSE(2), æ d v ˈɜː s
ADVERT, æ d v ˈɜː t
ADVERTISE, ˈæ d v ə t ˌaɪ z
ADVERTISED, ˈæ d v ə t ˌaɪ z d
ADVERTISEMENT(1), ə d v ˈɜː t ɪ s m ə n t
ADVERTISEMENT(2), ə d v ˈɜː t ɪ z m ə n t
ADVERTISEMENTS(1), ə d v ˈɜː t ɪ s m ə n t s
ADVERTISEMENTS(2), ə d v ˈɜː t ɪ z m ə n t s
ADVERTISER, ˈæ d v ə t ˌaɪ z ə
ADVERTISERS, ˈæ d v ə t ˌaɪ z ə z
ADVERTISING, ˈæ d v ə t ˌaɪ z ɪ ŋ
ADVICE, ə d v ˈaɪ s
ADVISE, ə d v ˈaɪ z
ADVISED, ə d v ˈaɪ z d
ADVISER, ə d v ˈaɪ z ə
ADVISERS, ə d v ˈaɪ z ə z
ADVISOR, ə d v ˈaɪ z ə
ADVISORS, ə d v ˈaɪ z ə z
ADVISORY, ə d v ˈaɪ z ə ɹ i
ADVOCACY, ˈæ d v ə k ə s i
ADVOCATE(1), ˈæ d v ə k ˌeɪ t
ADVOCATE(2), ˈæ d v ə k ɪ t
ADWARE, ˈæ d w ˌɛə
AERIAL, ˈɛə ɹ ɪə l
AEROPLANE, ˌɛə ɹ ə p l ˈeɪ n
AEROSOL, ˈɛə ɹ ə s ˌɒ l
AEROSPACE, ˈɛə ɹ ə s p ˌeɪ s
AESTHETIC(1), ɪ s θ ˈɛ t ɪ k
AESTHETIC(2), iː s θ ˈɛ t ɪ k
AESTHETIC(3), ɛ s θ ˈɛ t ɪ k
AFAR, ə f ˈɑː
AFFAIR, ə f ˈɛə
AFFAIRS, ə f ˈɛə z
AFFECT, ə f ˈɛ k t
AFFECTED, ə f ˈɛ k t ɪ d
AFFECTING, ə f ˈɛ k t ɪ ŋ
AFFECTION, ə f ˈɛ k ʃ ə n
AFFECTS, ə f ˈɛ k t s
AFFILIATE(1), ə f ˈɪ l ɪ ˌeɪ t
AFFILIATE(2), ə f ˈɪ l ɪə t
AFFILIATED, ə f ˈɪ l ɪ ˌeɪ t ɪ d
AFFILIATES(1), ə f ˈɪ l ɪ ˌeɪ t s
AFFILIATES(2), ə f ˈɪ l ɪə t s
AFFILIATION, ə f ˌɪ l ɪ ˈeɪ ʃ ə n
AFFIRM, ə f ˈɜː m
AFFORD, ə f ˈɔː d
AFFORDABLE, ə f ˈɔː d ə b ə l
AFGHANISTAN(1), æ f g ˈæ n ɪ s t ˌɑː n
AFGHANISTAN(2), æ f g ˈæ n ɪ s t ˌæ n
AFOOT, ə f ˈʊ t
AFRAID, ə f ɹ ˈeɪ d
AFRICA, ˈæ f ɹ ɪ k ə
AFRICAN, ˈæ f ɹ ɪ k ə n
AFRO, ˈæ f ɹ əʊ
AFTER, ˈɑː f t ə
AFTERNOON, ˌɑː f t ə n ˈuː n
AFTERNOONS, ˌɑː f t ə n ˈuː n z
AFTERWARD, ˈɑː f t ə w ə d
AFTERWARDS, ˈɑː f t ə w ə d z
AGAIN(1), ə g ˈɛ n
AGAIN(2), ə g ˈeɪ n
AGAINST(1), ə g ˈɛ n s t
AGAINST(2), ə g ˈeɪ n s t
AGE, ˈeɪ dʒ
AGED(1), ˈeɪ dʒ d
AGED(2), ˈeɪ dʒ ɪ d
AGEING, ˈeɪ dʒ ɪ ŋ
AGENCIES, ˈeɪ dʒ ə n s i z
AGENCY, ˈeɪ dʒ ə n s i
AGENDA, ə dʒ ˈɛ n d ə
AGENT, ˈeɪ dʒ ə n t
AGENTS, ˈeɪ dʒ ə n t s
AGES, ˈeɪ dʒ ɪ z
AGGRAVATE, ˈæ g ɹ ə v ˌeɪ t
AGGREGATE(1), ˈæ g ɹ ɪ g ˌeɪ t
AGGREGATE(2), ˈæ g ɹ ɪ g ɪ t
AGGRESSION, ə g ɹ ˈɛ ʃ ə n
AGGRESSIVE, ə g ɹ ˈɛ s ɪ v
AGGRO, ˈæ g ɹ əʊ
AGILE, ˈæ dʒ aɪ l
AGING, ˈeɪ dʒ ɪ ŋ
AGITATE, ˈæ dʒ ɪ t ˌeɪ t
AGNES, ˈæ g n ɪ s
AGO, ə g ˈəʊ
AGONY, ˈæ g ə n i
AGREE, ə g ɹ ˈiː
AGREED, ə g ɹ ˈiː d
AGREEING, ə g ɹ ˈiː ɪ ŋ
AGREEMENT, ə g ɹ ˈiː m ə n t
AGREEMENTS, ə g ɹ ˈiː m ə n t s
AGREES, ə g ɹ ˈiː z
AGRICULTURAL, ˌæ g ɹ ɪ k ˈɐ l tʃ ə ɹ ə l
AGRICULTURE, ˈæ g ɹ ɪ k ˌɐ l tʃ ə
AH, ˈɑː
AHA, ˌɑː h ˈɑː
AHEAD, ə h ˈɛ d
AHOLD, ə h ˈəʊ l d
AID, ˈeɪ d
AIDE, ˈeɪ d
AIDS, ˈeɪ d z
AIGBURTH, ˈɛ g b ə θ
AIL, ˈeɪ l
AILING, ˈeɪ l ɪ ŋ
AIM, ˈeɪ m
AIMED, ˈeɪ m d
AIMING, ˈeɪ m ɪ ŋ
AIMS, ˈeɪ m z
AIN'T, ˈeɪ n t
AIR, ˈɛə
AIRCRAFT, ˈɛə k ɹ ˌɑː f t
AIRFARE, ˈɛə f ˌɛə
AIRING, ˈɛə ɹ ɪ ŋ
AIRLINE, ˈɛə l ˌaɪ n
AIRLINES, ˈɛə l ˌaɪ n z
AIRPLANE, ˈɛə p l ˌeɪ n
AIRPORT, ˈɛə p ˌɔː t
AIRPORTS, ˈɛə p ˌɔː t s
AIRWAYS, ˈɛə w ˌeɪ z
AIRY, ˈɛə ɹ i
AISLE, ˈaɪ l
AITCH, ˈeɪ tʃ
AITCHES, ˈeɪ tʃ ɪ z
AJAR, ə dʒ ˈɑː
AKIN, ə k ˈɪ n
AL, ˈæ l
ALABAMA, ˌæ l ə b ˈæ m ə
ALAN, ˈæ l ə n
ALARM, ə l ˈɑː m
ALAS, ə l ˈæ s
ALASKA, ə l ˈæ s k ə
ALBANIA, æ l b ˈeɪ n ɪə
ALBANY, ˈɔː l b ə n i
ALBEIT, ɔː l b ˈiː ɪ t
ALBERT, ˈæ l b ə t
ALBERTA, æ l b ˈɜː t ə
ALBUM, ˈæ l b ə m
ALBUMS, ˈæ l b ə m z
ALBUQUERQUE, ˈæ l b ə k ˌɜː k i
ALCHEMY, ˈæ l k ə m i
ALCOHOL, ˈæ l k ə h ˌɒ l
ALDEBURGH, ˈɔː l b ɹ ə
ALE, ˈeɪ l
ALERT, ə l ˈɜː t
ALERTS, ə l ˈɜː t s
ALEX, ˈæ l ɪ k s
ALEXANDER, ˌæ l ɪ g z ˈɑː n d ə
ALEXANDRIA, ˌæ l ɪ g z ˈɑː n d ɹ ɪə
ALFRED, ˈæ l f ɹ ɪ d
ALGAE, ˈæ l g i
ALGEBRA, ˈæ l dʒ ɪ b ɹ ə
ALGERIA, æ l dʒ ˈɪə ɹ ɪə
ALGORITHM, ˈæ l g ə ɹ ˌɪ ð ə m
ALGORITHMS, ˈæ l g ə ɹ ˌɪ ð ə m z
ALI, ˈɑː l i
ALIAS, ˈeɪ l ɪə s
ALIBI, ˈæ l ɪ b ˌaɪ
ALICE, ˈæ l ɪ s
ALIEN, ˈeɪ l ɪə n
ALIENS, ˈeɪ l ɪə n z
ALIGN, ə l ˈaɪ n
ALIGNMENT, ə l ˈaɪ n m ə n t
ALIKE, ə l ˈaɪ k
ALISON, ˈæ l ɪ s ə n
ALIVE, ə l ˈaɪ v
ALL, ˈɔː l
ALLAH(1), ˈæ l ə
ALLAH(2), ə l ˈɑː
ALLAN, ˈæ l ə n
ALLAY, ə l ˈeɪ
ALLEGATION, ˌæ l ɪ g ˈeɪ ʃ ə n
ALLEGATIONS, ˌæ l ɪ g ˈeɪ ʃ ə n z
ALLEGE, ə l ˈɛ dʒ
ALLEGED, ə l ˈɛ dʒ d
ALLEGEDLY, ə l ˈɛ dʒ ɪ d l i
ALLEGIANCE, ə l ˈiː dʒ ə n s
ALLEN, ˈæ l ə n
ALLERGIC, ə l ˈɜː dʒ ɪ k
ALLERGY, ˈæ l ə dʒ i
ALLEY, ˈæ l i
ALLIANCE, ə l ˈaɪ ə n s
ALLIED(1), ˈæ l ˌaɪ d
ALLIED(2), ə l ˈaɪ d
ALLIES(1), ə l ˈaɪ z
ALLIES(2), ˈæ l aɪ z
ALLOCATE, ˈæ l ə k ˌeɪ t
ALLOCATED, ˈæ l ə k ˌeɪ t ɪ d
ALLOCATION, ˌæ l ə k ˈeɪ ʃ ə n
ALLOT, ə l ˈɒ t
ALLOTED, ə l ˈɒ t ɪ d
ALLOTMENT, ə l ˈɒ t m ə n t
ALLOW, ə l ˈaʊ
ALLOWANCE, ə l ˈaʊ ə n s
ALLOWANCES, ə l ˈaʊ ə n s ɪ z
ALLOWED, ə l ˈaʊ d
ALLOWING, ə l ˈaʊ ɪ ŋ
ALLOWS, ə l ˈaʊ z
ALLOY(1), ˈæ l ɔɪ
ALLOY(2), ə l ˈɔɪ
ALLY(1), ə l ˈaɪ
ALLY(2), ˈæ l aɪ
ALMIGHTY, ɔː l m ˈaɪ t i
ALMOND, ˈɑː m ə n d
ALMOST, ˈɔː l m ˌəʊ s t
ALNICK, ˈæ n ɪ k
ALOE, ˈæ l əʊ
ALOFT, ə l ˈɒ f t
ALONE, ə l ˈəʊ n
ALONG, ə l ˈɒ ŋ
ALONGSIDE, ə l ˈɒ ŋ s ˌaɪ d
ALOOF, ə l ˈuː f
ALOUD, ə l ˈaʊ d
ALPHA, ˈæ l f ə
ALPHABETICAL, ˌæ l f ə b ˈɛ t ɪ k ə l
ALPINE, ˈæ l p ˌaɪ n
ALPS, ˈæ l p s
ALREADY, ɔː l ɹ ˈɛ d i
ALRESFORD(1), ˈɒ l s f ə d
ALRESFORD(2), ˈeɪ l s f ə d
ALRESFORD(3), ˈɒ l z f ə d
ALRESFORD(4), ˈɔː l z f ə d
ALRIGHT, ˌɔː l ɹ ˈaɪ t
ALSAGER, ˈɒ l s eɪ dʒ ə
ALSO, ˈɔː l s əʊ
ALTAR, ˈɔː l t ə
ALTER, ˈɔː l t ə
ALTERATION, ˌɔː l t ə ɹ ˈeɪ ʃ ə n
ALTERATIONS, ˌɔː l t ə ɹ ˈeɪ ʃ ə n z
ALTERED, ˈɔː l t ə d
ALTERNATE(1), ˈɔː l t ə n ˌeɪ t
ALTERNATE(2), ˈɔː l t ə n ɪ t
ALTERNATIVE, ɔː l t ˈɜː n ə t ɪ v
ALTERNATIVELY, ɔː l t ˈɜː n ə t ɪ v l i
ALTERNATIVES, ɔː l t ˈɜː n ə t ɪ v z
ALTHORP(1), ˈɔː l θ ɔː p
ALTHORP(2), ˈɔː l t ɹ ə p
ALTHOUGH, ˌɔː l ð ˈəʊ
ALTITUDE, ˈæ l t ɪ t j ˌuː d
ALTOGETHER, ˌɔː l t ə g ˈɛ ð ə
ALTRINCHAM, ˈɒ l t ɹ ɪ ŋ ə m
ALUMINIUM, ˌæ l j ʊ m ˈɪ n ɪə m
ALUMINUM, ə l ˈuː m ɪ n ə m
ALUMNI, ə l ˈɐ m n ˌaɪ
ALUMNUS, ə l ˈɐ m n ə s
ALVERDISCOTT(1), ˈɒ l s k ɒ t
ALVERDISCOTT(2), ˈɔː l s k ɒ t
ALWAYS(1), ˈɔː l w ɪ z
ALWAYS(2), ˈɔː l w ˌeɪ z
AM, ˈæ m
AMANDA, ə m ˈæ n d ə
AMASS, ə m ˈæ s
AMATEUR(1), ˈæ m ə t ə
AMATEUR(2), ˈæ m ə tʃ ə
AMATEUR(3), ˈæ m ə tʃ ˌʊə
AMATEUR(4), ˌæ m ə t ˈɜː
AMAZE, ə m ˈeɪ z
AMAZED, ə m ˈeɪ z d
AMAZING, ə m ˈeɪ z ɪ ŋ
AMAZON, ˈæ m ə z ə n
AMBASSADOR, æ m b ˈæ s ə d ə
AMBER, ˈæ m b ə
AMBIENT, ˈæ m b ɪə n t
AMBIGUITY, ˌæ m b ɪ g j ˈuː ɪ t i
AMBIGUOUS, æ m b ˈɪ g j ʊə s
AMBITION, æ m b ˈɪ ʃ ə n
AMBITIONS, æ m b ˈɪ ʃ ə n z
AMBITIOUS, æ m b ˈɪ ʃ ə s
AMBULANCE, ˈæ m b j ʊ l ə n s
AMEN(1), ˌeɪ m ˈɛ n
AMEN(2), ˌɑː m ˈɛ n
AMEND, ə m ˈɛ n d
AMENDED, ə m ˈɛ n d ɪ d
AMENDMENT, ə m ˈɛ n d m ə n t
AMENDMENTS, ə m ˈɛ n d m ə n t s
AMENITIES, ə m ˈɛ n ɪ t i z
AMERICA, ə m ˈɛ ɹ ɪ k ə
AMERICAN, ə m ˈɛ ɹ ɪ k ə n
AMERICANS, ə m ˈɛ ɹ ɪ k ə n z
AMERICAS, ə m ˈɛ ɹ ɪ k ə z
AMID, ə m ˈɪ d
AMINO(1), ə m ˈiː n əʊ
AMINO(2), ə m ˈaɪ n əʊ
AMISS, ə m ˈɪ s
AMNESTY, ˈæ m n ɪ s t i
AMOK, ə m ˈɒ k
AMONG, ə m ˈɐ ŋ
AMONGST, ə m ˈɐ ŋ s t
AMOUNT, ə m ˈaʊ n t
AMOUNTS, ə m ˈaʊ n t s
AMP, ˈæ m p
AMPERSAND, ˈæ m p ə s ˌæ n d
AMPHIBIAN, æ m f ˈɪ b ɪə n
AMPHITHEATER, ˌæ m f ɪ θ ˈɪə t ə
AMPLE, ˈæ m p ə l
AMPLIFIER, ˈæ m p l ɪ f ˌaɪ ə
AMPLITUDE, ˈæ m p l ɪ t j ˌuː d
AMPLY, ˈæ m p l i
AMSTERDAM, ˈæ m s t ə d ˌæ m
AMUSE, ə m j ˈuː z
AMUSEMENT, ə m j ˈuː z m ə n t
AMUSING, ə m j ˈuː z ɪ ŋ
AMY, ˈeɪ m i
AN(1), ə n
AN(2), ˈæ n
ANA(1), ˈæ n ə
ANA(2), ˈɑː n ə
ANAESTHESIA, ˌæ n ɪ s θ ˈiː z ɪə
ANAESTHETISE, ə n ˈiː s θ ə t ˌaɪ z
ANAL, ˈeɪ n ə l
ANALOG, ˈæ n ə l ˌɒ g
ANALOGOUS, ə n ˈæ l ə g ə s
ANALOGY, ə n ˈæ l ə dʒ i
ANALYSE, ˈæ n ə l ˌaɪ z
ANALYSED, ˈæ n ə l ˌaɪ z d
ANALYSES(1), ˈæ n ə l ˌaɪ z i z
ANALYSES(2), ə n ˈæ l ɪ s ˌiː z
ANALYSIS, ə n ˈæ l ɪ s ɪ s
ANALYST, ˈæ n ə l ɪ s t
ANALYSTS, ˈæ n ə l ɪ s t s
ANALYTICAL, ˌæ n ə l ˈɪ t ɪ k ə l
ANALYZE, ˈæ n ə l ˌaɪ z
